c,d,n,k,r,gen_time,solve_time,valid,sel_len
4,4,10,4,2,0.001279335999999992,9.889099999998985e-05,Y,82
4,4,10,4,2,0.0012893570000000187,0.00010108000000000339,Y,77
4,4,10,4,2,0.0012736640000000077,9.80130000000079e-05,Y,77
4,4,10,4,2,0.0013180479999999883,0.00010045999999999666,Y,80
4,4,10,4,2,0.0012736569999999836,9.744300000000261e-05,Y,79
4,4,10,4,2,0.0013074879999999955,0.00010138600000000886,Y,79
4,4,10,4,2,0.0012571140000000036,9.907999999997363e-05,Y,73
4,4,10,4,2,0.0012525680000000095,0.0001009540000000142,Y,73
4,4,10,4,2,0.0012849100000000002,0.00010198200000000046,Y,76
3,2,10,4,2,0.0008794480000000049,9.868300000001606e-05,Y,38
3,2,10,4,2,0.0008855959999999885,9.924000000000044e-05,Y,39
3,2,10,4,2,0.000871711000000025,0.00010145000000000293,Y,34
3,2,10,4,2,0.0008913490000000135,9.773900000001334e-05,Y,38
3,2,10,4,2,0.0008843749999999928,9.622300000000639e-05,Y,39
3,2,10,4,2,0.0009066480000000099,9.651299999999252e-05,Y,38
3,2,10,4,2,0.0008631250000000201,9.797999999999751e-05,Y,33
3,2,10,4,2,0.0008678329999999845,0.00010233499999998119,Y,35
3,2,10,4,2,0.0009379939999999976,9.715899999998556e-05,Y,36
3,2,10,4,2,0.0008802209999999866,0.00010198200000000046,Y,39
2,3,10,4,2,0.0009864689999999898,0.00012156000000002054,Y,37
2,3,10,4,2,0.0010460949999999969,0.0001068529999999901,Y,42
2,3,10,4,2,0.00100494799999995,0.00010818400000001116,Y,43
2,3,10,4,2,0.0010052870000000214,0.00010816500000004892,Y,43
2,3,10,4,2,0.0010417699999999974,0.0001055249999999952,Y,45
2,3,10,4,2,0.001015506999999971,0.00010018699999997382,Y,43
2,3,10,4,2,0.0009906999999999555,0.00011768800000000468,Y,39
2,3,10,4,2,0.001003864000000021,0.00011300399999997213,Y,39
2,3,10,4,2,0.0009975819999999969,0.00010720300000000016,Y,41
2,3,10,4,2,0.0009965900000000194,0.00010932099999999556,Y,42
2,2,10,4,2,0.000881301000000001,0.00010286899999994992,Y,32
2,2,10,4,2,0.0008650020000000036,0.00010250899999997287,Y,30
2,2,10,4,2,0.0008568110000000129,0.00010155700000002987,Y,31
2,2,10,4,2,0.0008784170000000202,0.00010706799999998795,Y,25
2,2,10,4,2,0.0008449560000000078,0.00011084000000000094,Y,25
2,2,10,4,2,0.0008465579999999973,0.00010767900000002717,Y,26
2,2,10,4,2,0.0008476749999999922,0.0001305480000000081,Y,28
2,2,10,4,2,0.0008533870000000388,0.00011895899999997406,Y,25
2,2,10,4,2,0.0008604420000000168,0.00010050099999997508,Y,31
2,2,10,4,2,0.0008658910000000075,0.00010475099999995852,Y,33
12,12,20,5,3,0.012589632999999989,0.0004929459999999941,Y,616
12,12,20,5,3,0.012412705999999996,0.0005409159999999469,Y,621
12,12,20,5,3,0.012268535999999997,0.0005196599999999774,Y,604
12,12,20,5,3,0.012380055000000001,0.0005870030000000304,Y,612
12,12,20,5,3,0.012326121000000023,0.0006218389999999574,Y,610
12,12,20,5,3,0.01233704699999999,0.0005798249999999783,Y,602
12,12,20,5,3,0.012359741999999951,0.0006681740000000214,Y,617
12,12,20,5,3,0.012431236000000012,0.0005267500000000203,Y,619
12,12,20,5,3,0.012347000000000052,0.0005181479999999961,Y,620
12,12,20,5,3,0.012493957,0.0005372980000000194,Y,622
12,8,20,5,3,0.008468036000000012,0.0006479900000000427,Y,400
12,8,20,5,3,0.00854550300000001,0.0005089569999999766,Y,417
12,8,20,5,3,0.008492053,0.0004829929999999871,Y,407
12,8,20,5,3,0.008588431000000007,0.0005457580000000073,Y,422
12,8,20,5,3,0.008520848000000025,0.0006900270000000375,Y,416
12,8,20,5,3,0.008417860999999971,0.0004662330000000381,Y,401
12,8,20,5,3,0.008381414000000031,0.0006302879999999789,Y,397
12,8,20,5,3,0.008563794000000013,0.0005285909999999672,Y,420
12,8,20,5,3,0.008453547000000006,0.000524789000000081,Y,410
12,8,20,5,3,0.008515233999999983,0.0005633870000000263,Y,406
12,4,20,5,3,0.004689116999999965,0.0004997409999999425,Y,209
12,4,20,5,3,0.004722887000000009,0.0005369499999999805,Y,210
12,4,20,5,3,0.004670961999999945,0.0005331290000000211,Y,203
12,4,20,5,3,0.004659029000000037,0.0005048029999999981,Y,204
12,4,20,5,3,0.0046531439999999424,0.0005795410000000167,Y,204
12,4,20,5,3,0.004610223000000024,0.0005868600000000779,Y,196
12,4,20,5,3,0.004657535999999962,0.0005887049999999672,Y,203
12,4,20,5,3,0.004668004000000003,0.0005702120000000699,Y,204
12,4,20,5,3,0.004653145000000025,0.0005067079999999669,Y,203
12,4,20,5,3,0.004734123999999951,0.000575159999999908,Y,205
8,8,20,5,3,0.008380605000000041,0.000682395999999974,Y,381
8,8,20,5,3,0.008322574999999999,0.0005544639999999212,Y,376
8,8,20,5,3,0.00845067300000002,0.0005880900000000411,Y,395
8,8,20,5,3,0.008325691999999996,0.0006815430000000067,Y,383
8,8,20,5,3,0.008298231000000045,0.000593799000000006,Y,378
8,8,20,5,3,0.008341219999999927,0.0006568049999999825,Y,385
8,8,20,5,3,0.008238712000000037,0.0005436300000000172,Y,374
8,8,20,5,3,0.008344691000000015,0.0005788369999999432,Y,373
8,8,20,5,3,0.008300479999999943,0.0005994539999999438,Y,384
8,8,20,5,3,0.00836155999999999,0.0008360750000000472,Y,387
8,4,20,5,3,0.004607874000000067,0.0006224259999999537,Y,192
8,4,20,5,3,0.004575505000000035,0.0005778090000000402,Y,188
8,4,20,5,3,0.0045434970000000074,0.0007475239999999994,Y,185
8,4,20,5,3,0.004683612000000004,0.0005720660000000377,Y,196
8,4,20,5,3,0.004535653000000028,0.0005393129999999857,Y,185
8,4,20,5,3,0.004626683999999992,0.0006199869999999885,Y,190
8,4,20,5,3,0.004578489000000019,0.0006108580000000474,Y,188
8,4,20,5,3,0.004621495999999947,0.0005879939999999806,Y,187
8,4,20,5,3,0.0045683039999999675,0.0006560220000000339,Y,186
8,4,20,5,3,0.004607338999999988,0.0006701810000000474,Y,191
4,4,20,5,3,0.004332801999999969,0.0006328100000000392,Y,148
4,4,20,5,3,0.004369270000000092,0.0007137040000000372,Y,150
4,4,20,5,3,0.004363971999999938,0.0007168189999999797,Y,153
4,4,20,5,3,0.004328964000000046,0.000589740999999977,Y,146
4,4,20,5,3,0.004377874000000004,0.0006571530000000214,Y,153
4,4,20,5,3,0.004413598000000074,0.0006871619999999634,Y,153
4,4,20,5,3,0.0043484850000000685,0.0005498979999999376,Y,148
4,4,20,5,3,0.004388237999999989,0.0005962269999999492,Y,156
4,4,20,5,3,0.004320346999999947,0.0005964149999999613,Y,144
4,4,20,5,3,0.004437632000000025,0.0007304970000000521,Y,154
3,2,20,5,3,0.002723118999999996,0.0007922229999999253,Y,71
3,2,20,5,3,0.0027086880000000146,0.0008296169999999492,Y,68
3,2,20,5,3,0.00276014400000002,0.0007700970000000806,Y,69
3,2,20,5,3,0.002703633999999955,0.0007633259999999531,Y,61
3,2,20,5,3,0.002709508999999999,0.000726471999999978,Y,66
3,2,20,5,3,0.0027616040000000286,0.0008299030000000762,Y,70
3,2,20,5,3,0.0026809669999999786,0.000908310999999995,Y,65
3,2,20,5,3,0.0027179050000000204,0.0008201890000000267,Y,68
3,2,20,5,3,0.0026965690000000375,0.0008955330000000039,Y,66
3,2,20,5,3,0.0026720740000000243,0.0008974969999999693,Y,59
2,3,20,5,3,0.0033731369999999705,0.001236673000000077,Y,76
2,3,20,5,3,0.0033176179999999666,0.0009303330000000054,Y,72
2,3,20,5,3,0.0033497479999999857,0.001150800999999979,Y,79
2,3,20,5,3,0.003452045999999931,0.0008018790000000608,Y,84
2,3,20,5,3,0.003316278000000006,0.0009898150000000605,Y,76
2,3,20,5,3,0.0033286409999999655,0.0012549130000000241,Y,77
2,3,20,5,3,0.003345800999999926,0.0010525009999999835,Y,80
2,3,20,5,3,0.0034227049999999704,0.0007901649999999538,Y,84
2,3,20,5,3,0.003409200999999973,0.0009853380000000023,Y,85
2,3,20,5,3,0.0033549800000000074,0.0009953160000000238,Y,80
2,2,20,5,3,0.0026239030000000385,0.0011784559999999944,Y,52
2,2,20,5,3,0.0026464330000000036,0.0011104240000000543,Y,55
2,2,20,5,3,0.002608792000000082,0.0008646650000000422,Y,51
2,2,20,5,3,0.002625363000000047,0.0014825739999999588,Y,51
2,2,20,5,3,0.0026119350000000097,0.0011520549999999297,Y,53
2,2,20,5,3,0.0026363489999999823,0.0013968290000000438,Y,54
2,2,20,5,3,0.0026055320000000215,0.0013840150000000717,Y,54
2,2,20,5,3,0.002584140000000068,0.0009992680000000531,Y,51
2,2,20,5,3,0.002596463000000049,0.0015054519999999627,Y,52
2,2,20,5,3,0.002598689000000043,0.00119002300000004,Y,52
12,12,30,6,3,0.05935791300000004,0.0019285959999999491,Y,1015
12,12,30,6,3,0.058846314000000066,0.002234179000000003,Y,1016
12,12,30,6,3,0.0607854200000002,0.0020431290000000324,Y,1019
12,12,30,6,3,0.05908849699999985,0.002164111000000135,Y,1019
12,12,30,6,3,0.05906429199999996,0.002234220999999925,Y,1019
12,12,30,6,3,0.05925729600000018,0.002208302999999967,Y,1033
12,12,30,6,3,0.059064510000000015,0.0018388400000002303,Y,1025
12,12,30,6,3,0.058766783999999905,0.0023014120000000027,Y,1002
12,12,30,6,3,0.05861736799999995,0.0023875160000002005,Y,1013
12,12,30,6,3,0.059613519999999864,0.0021797049999998652,Y,1021
12,8,30,6,3,0.04110843899999983,0.002277735999999919,Y,695
12,8,30,6,3,0.04093302500000018,0.001825418000000134,Y,686
12,8,30,6,3,0.040776747,0.002331312000000141,Y,688
12,8,30,6,3,0.040839099000000045,0.001939763999999844,Y,681
12,8,30,6,3,0.04088797100000008,0.0027895399999999793,Y,690
12,8,30,6,3,0.04070816100000019,0.002433777000000026,Y,679
12,8,30,6,3,0.04094816500000009,0.0020475270000002155,Y,686
12,8,30,6,3,0.04086455400000033,0.0017926749999996883,Y,681
12,8,30,6,3,0.04077549899999999,0.0023048339999995893,Y,685
12,8,30,6,3,0.041597823000000256,0.0019881790000000343,Y,703
12,4,30,6,3,0.02190931099999993,0.0023648670000002703,Y,334
12,4,30,6,3,0.02253362999999986,0.002138862000000241,Y,364
12,4,30,6,3,0.02210061399999974,0.0018162000000003786,Y,346
12,4,30,6,3,0.022317538999999886,0.0020923729999999807,Y,352
12,4,30,6,3,0.022072537000000114,0.002220632000000222,Y,344
12,4,30,6,3,0.022119206999999808,0.0021677000000002167,Y,345
12,4,30,6,3,0.022006126000000403,0.0020696409999998444,Y,341
12,4,30,6,3,0.021931850000000086,0.0018863030000004777,Y,341
12,4,30,6,3,0.02213412700000017,0.002343732000000376,Y,346
12,4,30,6,3,0.022268610000000244,0.0020878479999999477,Y,351
8,8,30,6,3,0.04141693599999963,0.002334972000000324,Y,633
8,8,30,6,3,0.03959723100000012,0.0025785239999995824,Y,618
8,8,30,6,3,0.040012933000000306,0.0017834149999993443,Y,640
8,8,30,6,3,0.03965796699999968,0.0022119709999994797,Y,620
