c,d,n,k,r,gen_time,solve_time,valid,sel_len
12,8,300,18,9,9.095305897999879,2.0766549379998196,Y,7426
12,8,300,18,9,9.09609768200039,1.745947145999935,Y,7438
12,8,300,18,9,9.104886680000163,1.8730479690000266,Y,7451
12,8,300,18,9,9.138529585000242,1.9622228999996878,Y,7449
12,8,300,18,9,9.135900718999665,1.9020384180000747,Y,7465
12,8,300,18,9,9.085893788000021,1.930876937999983,Y,7461
12,8,300,18,9,9.127796261000185,1.8988235510000777,Y,7414
12,8,400,20,10,20.475233656,4.2229993460000514,Y,9297
12,8,400,20,10,20.44568675000005,4.095348194000508,Y,9366
12,8,400,20,10,20.470901699000024,4.095494561000123,Y,9301
12,8,400,20,10,20.437803559999793,4.045032269000103,Y,9347
12,8,400,20,10,20.446608556,4.430340618999935,Y,9320
12,8,400,20,10,20.452947920999804,4.252698018000046,Y,9383
12,8,400,20,10,20.4757065230001,4.108063032000246,Y,9359
12,8,400,20,10,20.457694827000296,4.006265793000239,Y,9392
12,8,400,20,10,20.446359536999807,3.9176852969999345,Y,9366
12,8,400,20,10,20.418319569000005,4.1150598270000955,Y,9331
12,8,500,23,12,32.93227557199975,7.371711488999836,Y,11591
12,8,500,23,12,32.7335278070002,7.79454213300005,Y,11503
12,8,500,23,12,32.7087773400001,7.452020208000022,Y,11506
12,8,500,23,12,32.828235639999775,7.916425733000096,Y,11579
12,8,500,23,12,32.758845649999785,6.728185869000299,Y,11536
12,8,500,23,12,32.847105721999924,6.662550395000153,Y,11600
12,8,500,23,12,32.66911172499999,6.584352889000229,Y,11539
12,8,500,23,12,32.71585905300003,7.042261832000122,Y,11572
12,8,500,23,12,32.76911352699972,6.998080285999777,Y,11511
12,8,500,23,12,32.789027381000324,7.147766006999973,Y,11571
12,4,300,18,9,4.640583687000117,2.123513724999839,Y,3762
12,4,300,18,9,4.614941890999717,1.7911797830001888,Y,3725
12,4,300,18,9,4.609752654999966,1.7061729160002415,Y,3731
12,4,300,18,9,4.618287950999957,1.936799811000128,Y,3747
12,4,300,18,9,4.6331761619997,1.5250497930001075,Y,3736
12,4,300,18,9,4.613839968999855,1.712447830000201,Y,3726
12,4,300,18,9,4.617497877999995,1.8514264359998833,Y,3768
12,4,300,18,9,4.625334016000352,2.182997038999929,Y,3744
12,4,300,18,9,4.598609765999981,2.029329418999623,Y,3697
12,4,300,18,9,4.5970297029996345,1.6761463480002021,Y,3718
12,4,400,20,10,10.361250378000022,4.128640376000249,Y,4699
12,4,400,20,10,10.366102964999982,4.733551219999981,Y,4697
12,4,400,20,10,10.320548349999854,5.095938004000118,Y,4658
12,4,400,20,10,10.35944411599985,3.9975672450000275,Y,4709
12,4,400,20,10,10.334720008999966,4.854590464999774,Y,4664
12,4,400,20,10,10.345334201000014,4.625338721999924,Y,4679
12,4,400,20,10,10.302448725999966,4.912250920000133,Y,4633
12,4,400,20,10,10.345589312000357,4.227843051000036,Y,4698
12,4,400,20,10,10.427565087000403,4.793986419999783,Y,4707
12,4,400,20,10,10.331499874000428,4.775061548000167,Y,4672
12,4,500,23,12,16.531225847000314,10.05952230599928,Y,5777
12,4,500,23,12,16.55557555400037,9.619659461999618,Y,5804
12,4,500,23,12,16.603859339000337,9.592335791001005,Y,5755
12,4,500,23,12,16.443012728000213,7.834400245000779,Y,5732
12,4,500,23,12,16.487568005999947,10.229624584000248,Y,5729
