c,d,n,k,r,gen_time,solve_time,valid,sel_len
2,2,10,4,2,0.0006519859999999933,9.588999999998737e-05,Y,28
2,2,10,4,2,0.0006634970000000129,8.969600000000022e-05,Y,30
2,2,10,4,2,0.000655702000000008,9.228000000000014e-05,Y,30
2,2,10,4,2,0.000653767999999999,8.636300000000596e-05,Y,30
2,2,10,4,2,0.000649282000000001,8.77669999999886e-05,Y,28
2,2,10,4,2,0.0006552900000000028,8.861000000001673e-05,Y,31
12,12,20,5,3,0.009905598000000015,0.0005033710000000025,Y,615
12,12,20,5,3,0.009998231000000024,0.000658598999999982,Y,623
12,12,20,5,3,0.009815620999999997,0.000518368000000019,Y,624
12,12,20,5,3,0.009756850999999983,0.000595557999999996,Y,620
12,12,20,5,3,0.009741425999999997,0.0005883180000000043,Y,604
12,12,20,5,3,0.009835415000000014,0.0005606520000000226,Y,616
12,12,20,5,3,0.009761887999999996,0.0005705420000000072,Y,615
12,12,20,5,3,0.009818038000000029,0.0005307070000000191,Y,626
12,12,20,5,3,0.009716414000000007,0.00046966700000000694,Y,612
12,12,20,5,3,0.009851947000000028,0.0005992660000000427,Y,618
12,8,20,5,3,0.006800521000000004,0.0005673419999999707,Y,418
12,8,20,5,3,0.006822724000000002,0.0005927090000000246,Y,409
12,8,20,5,3,0.006779908999999973,0.0004861580000000143,Y,416
12,8,20,5,3,0.006735406999999971,0.000502062999999997,Y,403
12,8,20,5,3,0.006646496000000002,0.000518140999999972,Y,393
12,8,20,5,3,0.006756847999999982,0.0005984850000000375,Y,408
12,8,20,5,3,0.006682840999999995,0.0005863379999999641,Y,398
12,8,20,5,3,0.006778651000000024,0.0004706220000000316,Y,414
12,8,20,5,3,0.006810929000000021,0.0004992580000000024,Y,423
12,8,20,5,3,0.006713711000000011,0.0005386880000000094,Y,406
12,4,20,5,3,0.0037250819999999907,0.0005677199999999938,Y,208
12,4,20,5,3,0.0037836480000000283,0.0004881339999999734,Y,204
12,4,20,5,3,0.003701494999999999,0.0005969939999999618,Y,203
12,4,20,5,3,0.003748000000000029,0.0004693040000000037,Y,211
12,4,20,5,3,0.003716745999999993,0.0005164670000000204,Y,204
12,4,20,5,3,0.003762553000000002,0.0005838969999999999,Y,209
12,4,20,5,3,0.003717921000000013,0.0005143690000000145,Y,203
12,4,20,5,3,0.003776624999999978,0.0005601479999999825,Y,205
12,4,20,5,3,0.003704980999999996,0.00045617600000003034,Y,198
12,4,20,5,3,0.0036988330000000125,0.0005022940000000142,Y,197
8,8,20,5,3,0.0066356280000000045,0.0004885949999999806,Y,383
8,8,20,5,3,0.00659352799999996,0.0004510849999999622,Y,379
8,8,20,5,3,0.006622474999999961,0.0004185449999999924,Y,378
8,8,20,5,3,0.006631639999999994,0.0005370610000000053,Y,380
8,8,20,5,3,0.006588030999999994,0.0005747099999999783,Y,376
8,8,20,5,3,0.006629019000000014,0.0004813830000000019,Y,386
8,8,20,5,3,0.00665659399999996,0.0006927620000000134,Y,389
8,8,20,5,3,0.0066118649999999946,0.0006246249999999898,Y,381
8,8,20,5,3,0.006638176000000051,0.0005608180000000185,Y,376
8,8,20,5,3,0.00659810700000002,0.0006028869999999964,Y,384
8,4,20,5,3,0.0036739270000000213,0.0005891659999999188,Y,194
8,4,20,5,3,0.0036869929999999718,0.0006270749999999214,Y,195
8,4,20,5,3,0.003626538999999984,0.0004983849999999901,Y,185
8,4,20,5,3,0.003663419999999973,0.0007075300000000118,Y,192
8,4,20,5,3,0.0036711489999999847,0.0006529470000000703,Y,194
8,4,20,5,3,0.0036509949999999902,0.0005272710000000513,Y,190
8,4,20,5,3,0.003645407000000045,0.0005291600000000285,Y,191
8,4,20,5,3,0.0036890500000000825,0.0005540460000000857,Y,198
8,4,20,5,3,0.003642253999999956,0.0006125250000000859,Y,189
8,4,20,5,3,0.0036659470000000027,0.0004576870000000399,Y,190
4,4,20,5,3,0.003469692999999996,0.0007284499999999916,Y,145
4,4,20,5,3,0.0034808109999999726,0.0007386879999999874,Y,152
4,4,20,5,3,0.003547462999999973,0.0007045830000000919,Y,165
4,4,20,5,3,0.0035470979999999708,0.0006314940000000657,Y,153
4,4,20,5,3,0.003466191999999979,0.0006109709999999602,Y,150
4,4,20,5,3,0.0035193709999999934,0.0005214540000000323,Y,160
4,4,20,5,3,0.003474564999999985,0.0005197249999999709,Y,153
4,4,20,5,3,0.0034903490000000037,0.0005269509999999977,Y,152
4,4,20,5,3,0.003512066999999952,0.0008047459999999118,Y,154
4,4,20,5,3,0.0035187869999999677,0.0005179859999999703,Y,159
3,2,20,5,3,0.0021584759999999648,0.0006726049999999928,Y,70
3,2,20,5,3,0.002146051000000093,0.000704637000000008,Y,68
