n,f,c,d,time,sched_len
50,8,12,12,0.47760566199940513,62960
50,8,12,8,0.3349030389999825,42834
50,8,12,4,0.18132538099962403,21548
50,8,8,8,0.3222787819995574,32464
50,8,8,4,0.17925260700030776,16246
100,10,12,12,2.645806134999475,137280
100,10,12,8,1.8106794749992332,90708
100,10,12,4,1.025411814999643,46890
100,10,8,8,1.7937532689993532,64512
100,10,8,4,1.0518547060000856,32932
200,15,12,12,15.220124518000375,250444
200,15,12,8,10.75533113900019,168234
200,15,12,4,6.232286524999836,85938
200,15,8,8,11.468254735999835,117906
200,15,8,4,9.30413512999985,60442
300,18,12,12,48.28797770200072,394080
300,18,12,8,35.644280777999484,262926
300,18,12,4,27.87700618799954,131708
300,18,8,8,65.41379295599927,182952
300,18,8,4,83.79171142900032,91644
400,20,12,12,116.68351883299965,465532
400,20,12,8,95.34453823799959,310450
400,20,12,4,90.16291166700012,155368
400,20,8,8,214.55644924100034,210724
400,20,8,4,268.6003556259993,105740
500,23,12,12,241.80619471599857,564488
500,23,12,8,214.0074065179997,376594
500,23,12,4,258.18823362700095,188262
500,23,8,8,661.6353087809985,257040
500,23,8,4,1154.4498002709988,128808
50,8,12,12,0.46943492100035655,62290
50,8,12,8,0.32782370499990066,42430
50,8,12,4,0.1785179610014893,21252
50,8,8,8,0.31629442400117114,32284
50,8,8,4,0.1792800619987247,16052
100,10,12,12,2.6268852849989344,137232
100,10,12,8,1.808727118999741,91010
100,10,12,4,1.0295707620007306,46524
100,10,8,8,1.7903788439998607,64404
100,10,8,4,1.0728017860001273,32970
200,15,12,12,15.169197437000548,249576
200,15,12,8,10.632325216000027,168190
200,15,12,4,6.560453879999841,86488
200,15,8,8,11.12620427299953,118080
200,15,8,4,8.852313253999455,60714
300,18,12,12,46.16301849899901,394116
300,18,12,8,36.52535579600044,263022
300,18,12,4,28.33831626599931,131310
300,18,8,8,68.2804825150015,182820
300,18,8,4,68.06055153799934,91640
400,20,12,12,116.07478185499895,465236
400,20,12,8,96.32253417599895,310016
400,20,12,4,93.4699175450005,154992
400,20,8,8,202.97336703700057,210782
400,20,8,4,267.2562588609999,105692
500,23,12,12,249.43586355599837,563868
500,23,12,8,236.5122478079993,376836
500,23,12,4,279.71157740499984,188564
500,23,8,8,664.370772622,256998
500,23,8,4,1175.3103636390006,128720
50,8,12,12,0.46492242900058045,62522
50,8,12,8,0.3325659580004867,42462
50,8,12,4,0.1806800390004355,21416
50,8,8,8,0.32001127900002757,32116
50,8,8,4,0.17573275200084026,16288
100,10,12,12,2.6476996620003774,137480
100,10,12,8,1.7908487180011434,90984
100,10,12,4,1.015105959999346,46464
100,10,8,8,1.7969341379994148,64410
100,10,8,4,1.0658185930005857,33058
200,15,12,12,15.0818049720001,249984
200,15,12,8,10.663482317000671,168208
200,15,12,4,6.521017952998591,85996
200,15,8,8,10.885616961999403,118300
200,15,8,4,8.52520160900167,60462
300,18,12,12,47.0317310749997,394174
300,18,12,8,35.777878893999514,262888
300,18,12,4,29.677969414000472,131470
300,18,8,8,67.85089424199941,182834
300,18,8,4,70.70641414099919,91696
400,20,12,12,115.16765149899948,464990
400,20,12,8,96.0252831960006,310130
400,20,12,4,90.5793607150008,155338
400,20,8,8,215.51767222099988,210798
400,20,8,4,254.58424626399938,105788
500,23,12,12,236.377764922001,564662
500,23,12,8,220.02443263200075,376298
500,23,12,4,286.1788758850016,188976
500,23,8,8,639.952762222998,256850
500,23,8,4,1236.6044776109993,128720
50,8,12,12,0.46866083900022204,62652
50,8,12,8,0.32875227199838264,42640
50,8,12,4,0.19137143800253398,21222
50,8,8,8,0.3182685700012371,32414
50,8,8,4,0.17513070000131847,16168
100,10,12,12,2.642076136999094,138342
100,10,12,8,1.7875459079987195,90764
100,10,12,4,1.0447359870013315,46846
100,10,8,8,1.7830132500021136,64728
100,10,8,4,1.0345122200014885,32994
200,15,12,12,15.194494379997195,250074
200,15,12,8,10.71397860900106,168024
200,15,12,4,6.3554355740016035,86202
200,15,8,8,11.502916844001447,118052
200,15,8,4,9.1820938689998,60506
