n,f,c,d,time,sched_len
30,6,12,4,0.053843286000000046,12960
30,6,8,8,0.09404594699999991,20016
30,6,8,4,0.052620133999999985,10020
40,7,12,12,0.301260968,51634
40,7,12,8,0.20707094400000003,34540
40,7,12,4,0.11395324200000001,17256
40,7,8,8,0.19955684099999993,25790
40,7,8,4,0.11606551099999995,13024
50,8,12,12,0.474455101,62986
50,8,12,8,0.3297787269999999,42534
50,8,12,4,0.17992495699999989,21420
50,8,8,8,0.32306322099999996,32454
50,8,8,4,0.17792237599999972,16142
60,8,12,12,0.7042451569999999,70858
60,8,12,8,0.48664260400000003,47112
60,8,12,4,0.2742646089999994,24098
60,8,8,8,0.4741872339999995,34946
60,8,8,4,0.26373068400000044,18198
70,9,12,12,1.099604876,107060
70,9,12,8,0.7461045100000003,71096
70,9,12,4,0.41736289999999965,35814
70,9,8,8,0.742961382999999,52046
70,9,8,4,0.4143471139999999,26296
80,9,12,12,1.4474529690000004,114420
80,9,12,8,1.0124483289999997,77954
80,9,12,4,0.5627160960000008,39024
80,9,8,8,0.9971262200000002,56498
80,9,8,4,0.575391054999999,28426
90,10,12,12,2.1000779979999997,129336
90,10,12,8,1.4790188990000015,86428
90,10,12,4,0.8177108970000013,43242
90,10,8,8,1.4363222550000003,61914
90,10,8,4,0.8140187929999989,30802
100,10,12,12,2.668640504999999,137994
100,10,12,8,1.8260870580000024,90918
100,10,12,4,1.0504837109999983,46690
100,10,8,8,1.7909911110000003,64382
100,10,8,4,1.0674237249999976,33204
200,15,12,12,15.070559662,250470
200,15,12,8,10.871149564,167506
200,15,12,4,6.444670559000002,86366
200,15,8,8,11.702885745000003,118068
200,15,8,4,9.045503324999999,60614
300,18,12,12,46.72594635500002,394018
300,18,12,8,35.861572869000014,263272
300,18,12,4,29.62809403,131492
300,18,8,8,68.738664731,183114
300,18,8,4,73.222627633,91472
400,20,12,12,116.01612770899999,465002
400,20,12,8,95.34147675000003,310090
400,20,12,4,87.93587041399996,155540
400,20,8,8,205.900402503,210726
400,20,8,4,256.93408907899993,105708
500,23,12,12,261.5021492620001,564048
500,23,12,8,231.4267905600002,376190
500,23,12,4,267.4331408790001,188422
500,23,8,8,675.1115618460001,256918
500,23,8,4,1255.363766864,128688
10,4,12,12,0.010381047999999282,7386
10,4,12,8,0.007374983000318025,5186
10,4,12,4,0.004709481000190863,2676
10,4,8,8,0.006971391999741172,4462
10,4,8,4,0.00459531100023014,2488
20,5,12,12,0.04824535100033245,25328
20,5,12,8,0.03400697899996885,16904
20,5,12,4,0.020129695999912656,8562
20,5,8,8,0.03287128000010853,13046
20,5,8,4,0.021385907999956544,6602
30,6,12,12,0.1370718759999363,37980
30,6,12,8,0.09833609099996465,25604
30,6,12,4,0.05451635700001134,13048
30,6,8,8,0.09416684600000735,20064
30,6,8,4,0.052971223999975336,10072
40,7,12,12,0.2986089969999739,51250
40,7,12,8,0.20896790699998746,34458
40,7,12,4,0.11647926499972527,17236
40,7,8,8,0.2026403830000163,25818
40,7,8,4,0.11485477900032492,12980
50,8,12,12,0.4703353770000831,62448
50,8,12,8,0.3281448679999812,42176
50,8,12,4,0.18610230500007674,21464
50,8,8,8,0.3211583369998152,32542
50,8,8,4,0.18068615199990745,16352
60,8,12,12,0.706375160999869,70796
60,8,12,8,0.4825380430002042,47012
60,8,12,4,0.2763016730000345,24048
60,8,8,8,0.4641193439997551,35228
60,8,8,4,0.27286064500003704,17920
70,9,12,12,1.0914712569997391,106014
70,9,12,8,0.7654127420000805,71004
70,9,12,4,0.4196486610003376,35676
70,9,8,8,0.7420073210000737,52390
70,9,8,4,0.42501288000039494,26312
80,9,12,12,1.4564996499998415,114960
80,9,12,8,1.0209698970002137,77498
80,9,12,4,0.5540602790001685,38746
80,9,8,8,0.9999633840002389,56530
80,9,8,4,0.5721476489998167,28258
90,10,12,12,2.125966515000073,128956
90,10,12,8,1.4713776950002284,86510
90,10,12,4,0.8048834510000233,43326
90,10,8,8,1.4402362850000827,61746
90,10,8,4,0.8148298510000132,30824
100,10,12,12,2.651528374999998,137656
100,10,12,8,1.8313894419998178,90832
100,10,12,4,1.0457792419997531,46806
100,10,8,8,1.779756690999875,64508
100,10,8,4,1.045324914000048,33140
200,15,12,12,15.33741523899971,250186
200,15,12,8,10.810992279999937,168090
200,15,12,4,6.515400449000026,86160
200,15,8,8,11.539961729999959,117956
200,15,8,4,9.18069664199993,60502
300,18,12,12,47.40927270700013,394010
300,18,12,8,34.75033954899982,263058
300,18,12,4,28.41919711699984,131624
300,18,8,8,69.37205007600005,182944
300,18,8,4,71.04974894700035,91582
400,20,12,12,112.67779943699952,465276
400,20,12,8,97.09101327900044,310308
400,20,12,4,85.89169012500042,155162
400,20,8,8,224.42493028199988,210806
400,20,8,4,285.35747498399996,105748
500,23,12,12,241.48415200399995,564360
500,23,12,8,231.65457909900033,376492
500,23,12,4,295.74900394699944,188772
500,23,8,8,696.0757465890001,257002
500,23,8,4,1141.1672582110004,128672
10,4,12,12,0.010242356000162545,7322
10,4,12,8,0.0072298889999729,5066
10,4,12,4,0.004623867999725917,2684
10,4,8,8,0.006872167999972589,4444
10,4,8,4,0.004467234000003373,2326
20,5,12,12,0.049914086000171665,25416
20,5,12,8,0.033779280000089784,16972
20,5,12,4,0.019893589000275824,8618
20,5,8,8,0.03255964900017716,13210
20,5,8,4,0.018991254999491503,6594
30,6,12,12,0.1345443680002063,37666
30,6,12,8,0.09533806299987191,25484
30,6,12,4,0.053817652000361704,12962
30,6,8,8,0.0943950090004364,19960
30,6,8,4,0.05264889000045514,9882
40,7,12,12,0.29333510500055127,51558
40,7,12,8,0.2055635840006289,34286
40,7,12,4,0.1143969790000483,17214
40,7,8,8,0.2018874790001064,25820
40,7,8,4,0.11343313999987004,12928
50,8,12,12,0.4669547409994266,62670
50,8,12,8,0.32883022599980904,42566
50,8,12,4,0.18010688300000766,21194
50,8,8,8,0.317576612999801,32608
50,8,8,4,0.17892656799995166,16210
60,8,12,12,0.6939112489999388,70554
60,8,12,8,0.4713796280002498,46712
60,8,12,4,0.27285378000033234,24174
60,8,8,8,0.4566580939999767,35122
60,8,8,4,0.2619728949994169,18186
70,9,12,12,1.080643778999729,106574
70,9,12,8,0.7413058729998738,70752
70,9,12,4,0.4220682819996,35660
70,9,8,8,0.7266512879996299,52278
70,9,8,4,0.40746594600022945,26082
80,9,12,12,1.4372758870003963,114126
80,9,12,8,1.002682876000108,77890
80,9,12,4,0.572468819000278,38874
80,9,8,8,0.9819783989996722,56702
80,9,8,4,0.5581800440004372,28254
90,10,12,12,2.103855768000358,129510
90,10,12,8,1.4396014370004195,86348
90,10,12,4,0.8068030929998713,42948
90,10,8,8,1.4262982410000404,61632
90,10,8,4,0.8112044370000149,30774
100,10,12,12,2.63306267400003,138006
100,10,12,8,1.8048717220008257,90610
100,10,12,4,1.0151636459995643,46798
100,10,8,8,1.7798646450000888,64318
100,10,8,4,1.0314140520004003,33290
200,15,12,12,15.27205293299994,249830
200,15,12,8,10.882895100000496,168078
200,15,12,4,6.560825303000456,85840
200,15,8,8,10.95983182800046,117932
200,15,8,4,9.706526918000236,60658
300,18,12,12,47.51985007799976,393926
300,18,12,8,35.65207001999988,262680
300,18,12,4,30.392816978000155,131430
300,18,8,8,67.07316513700061,183092
300,18,8,4,71.21217012299985,91660
400,20,12,12,115.01085701200009,465004
400,20,12,8,95.09189762999995,310226
400,20,12,4,89.5151572550003,155558
400,20,8,8,223.93540099099937,210984
400,20,8,4,267.6101907860011,105648
500,23,12,12,248.62799364800048,564956
500,23,12,8,237.05835931500042,376376
500,23,12,4,295.33871212199847,188622
500,23,8,8,662.8769673419993,256944
500,23,8,4,1312.4774145259998,128728
10,4,12,12,0.009878974000457674,7400
10,4,12,8,0.007181862998550059,4978
10,4,12,4,0.004609387000527931,2632
10,4,8,8,0.006817767000029562,4438
10,4,8,4,0.004455313999642385,2274
20,5,12,12,0.04784159700102464,26064
20,5,12,8,0.03342822600097861,16704
20,5,12,4,0.019803995000984287,8526
20,5,8,8,0.03300389799915138,13170
20,5,8,4,0.018919403999461792,6652
30,6,12,12,0.13422981999974581,38122
30,6,12,8,0.09491581800102722,25624
30,6,12,4,0.052986611999585875,12804
30,6,8,8,0.09590054699947359,19796
30,6,8,4,0.05250867300128448,10090
40,7,12,12,0.29254400599893415,51454
40,7,12,8,0.20599998799843888,34160
40,7,12,4,0.11322820900022634,17056
40,7,8,8,0.19792149000022619,26106
40,7,8,4,0.11206341499928385,13136
50,8,12,12,0.4682021770004212,62202
50,8,12,8,0.3262820330000977,42762
50,8,12,4,0.1794068539984437,21336
50,8,8,8,0.31946338299894705,32846
50,8,8,4,0.17570716599948355,16160
60,8,12,12,0.6961183069997787,70806
60,8,12,8,0.47505152099984116,46976
60,8,12,4,0.260535997000261,24004
60,8,8,8,0.4695303119988239,34892
60,8,8,4,0.26461811199988006,18034
70,9,12,12,1.074932544001058,106622
70,9,12,8,0.7488185160000285,71046
70,9,12,4,0.4149474610003381,35612
70,9,8,8,0.7252420739987429,52072
70,9,8,4,0.42041215599965653,26302
80,9,12,12,1.4312187989999074,114660
80,9,12,8,1.0065299020006933,77756
80,9,12,4,0.5559803699998156,38840
80,9,8,8,1.001144784000644,56842
80,9,8,4,0.5766506730014953,28380
90,10,12,12,2.1073627320001833,129578
90,10,12,8,1.4452292850000958,86146
90,10,12,4,0.788392833999751,43542
90,10,8,8,1.424041000998841,61608
90,10,8,4,0.8179645479995088,30824
100,10,12,12,2.6349478639986046,137720
100,10,12,8,1.799292321999019,90536
100,10,12,4,1.0177180840000801,46806
100,10,8,8,1.7771204069995292,64496
100,10,8,4,1.0450855449998926,33250
200,15,12,12,14.985666251999646,250076
200,15,12,8,10.709973353999885,168112
200,15,12,4,6.298968957999023,85802
200,15,8,8,11.448319801000252,118004
200,15,8,4,9.153149694999229,60444
300,18,12,12,46.3185334890004,394376
300,18,12,8,35.29846338900097,263008
300,18,12,4,29.182309157000418,132096
300,18,8,8,68.41460037199977,182940
300,18,8,4,72.68468017300074,91422
400,20,12,12,112.0506924500005,465170
400,20,12,8,94.67054767799891,310284
400,20,12,4,88.35755435600004,155550
400,20,8,8,217.44423909500074,210896
400,20,8,4,270.96073308499945,105624
500,23,12,12,259.7601417299993,564082
500,23,12,8,235.14880892499968,376440
500,23,12,4,297.80621820300075,188718
500,23,8,8,678.796514691001,256898
