n,f,c,d,time,sched_len
30,6,12,8,0.12223172899939527,25378
30,6,12,4,0.0687032210007601,12934
30,6,8,8,0.11835313099982159,19850
30,6,8,4,0.06706385700090323,9862
40,7,12,12,0.3748768170007679,51454
40,7,12,8,0.26005203999920923,34118
40,7,12,4,0.14377216899993073,17000
40,7,8,8,0.25084236299881013,25988
40,7,8,4,0.14276703900031862,12910
50,8,12,12,0.5821118429994385,62628
50,8,12,8,0.4135685139990528,42646
50,8,12,4,0.22631695400013996,21636
50,8,8,8,0.3939554959997622,32488
50,8,8,4,0.21884271199996874,16120
60,8,12,12,0.867018385000847,71216
60,8,12,8,0.5908724070013704,46654
60,8,12,4,0.33209900700057915,24380
60,8,8,8,0.5753755579989956,35116
60,8,8,4,0.33026241199877404,18160
70,9,12,12,1.322729805999188,106642
70,9,12,8,0.926629170000524,71120
70,9,12,4,0.5102667149985791,35548
70,9,8,8,0.8971978150002542,52404
70,9,8,4,0.5078400819984381,26158
80,9,12,12,1.7952678589990683,114084
80,9,12,8,1.2678861149997829,77844
80,9,12,4,0.6971301770008722,38892
80,9,8,8,1.234632892999798,56624
80,9,8,4,0.7025972749997891,28454
90,10,12,12,2.6106344769996213,130016
90,10,12,8,1.8040059029990516,86706
90,10,12,4,0.9910525899995264,43278
90,10,8,8,1.7648762349999743,61904
90,10,8,4,0.98900040099943,30756
100,10,12,12,3.205987635001293,137978
100,10,12,8,2.1945306380002876,90642
100,10,12,4,1.264594150999983,46784
100,10,8,8,2.1549956849994487,64506
100,10,8,4,1.2345810209990304,33188
200,15,12,12,18.5977422929991,250418
200,15,12,8,12.917409105999468,168258
200,15,12,4,8.065851866998855,86564
200,15,8,8,13.26313268299964,118182
200,15,8,4,11.1865966080004,60442
300,18,12,12,57.20097922599962,393674
300,18,12,8,41.61523185599981,262986
300,18,12,4,31.111284835000333,131644
300,18,8,8,76.67303188799997,182752
300,18,8,4,75.03551166000034,91634
400,20,12,12,134.57362520199968,464854
400,20,12,8,106.0210405630005,310202
400,20,12,4,105.10834213199996,155328
400,20,8,8,237.56619080900055,210856
400,20,8,4,315.380207238999,105672
500,23,12,12,280.8524024189992,564316
500,23,12,8,265.7630601660003,376682
500,23,12,4,289.37308642800053,188402
500,23,8,8,723.2130553139996,256920
