n,f,c,d,time,sched_len
30,2,12,4,0.020307870999999977,2986
30,2,8,8,0.03557487800000558,4494
30,2,8,4,0.019657197000015003,2280
40,2,12,12,0.09623981800001502,10570
40,2,12,8,0.06536138799998525,7042
40,2,12,4,0.035235749999998234,3588
40,2,8,8,0.06195516799999723,5098
40,2,8,4,0.03418095000000676,2552
50,2,12,12,0.14779558800000814,11638
50,2,12,8,0.10236303400000679,7932
50,2,12,4,0.05449627699999837,4018
50,2,8,8,0.09879369099999735,5490
50,2,8,4,0.052793785000005755,2818
60,2,12,12,0.2181106570000111,12732
60,2,12,8,0.14513224099999888,8346
60,2,12,4,0.07890429500000096,4322
60,2,8,8,0.14042372900001965,5808
60,2,8,4,0.07694501200001014,3022
70,2,12,12,0.2905747670000096,13146
70,2,12,8,0.19654375499999333,8776
70,2,12,4,0.10412439600000312,4396
70,2,8,8,0.19145993199998657,5994
70,2,8,4,0.10211211199998615,3038
80,2,12,12,0.3864425350000147,13834
80,2,12,8,0.2703630639999801,9478
80,2,12,4,0.14055718799997408,4720
80,2,8,8,0.26120569599999044,6398
80,2,8,4,0.13873966299999552,3236
90,2,12,12,0.48492989300001454,14202
90,2,12,8,0.32920437200002084,9504
90,2,12,4,0.17375458300000446,4818
90,2,8,8,0.3201156479999838,6408
90,2,8,4,0.1732032029999857,3246
100,2,12,12,0.6129874100000166,14772
100,2,12,8,0.4114580359999991,9772
100,2,12,4,0.2214060340000117,5068
100,2,8,8,0.40386544600002594,6600
100,2,8,4,0.22055751400000645,3444
200,2,12,12,2.7300088340000173,17096
200,2,12,8,1.8793356139999844,11552
200,2,12,4,1.0080830899999853,6008
200,2,8,8,1.8813490990000048,7768
200,2,8,4,1.0436040529999957,4072
300,2,12,12,6.502927430999989,18516
300,2,12,8,4.4291400440000075,12444
300,2,12,4,2.368655617999991,6372
300,2,8,8,4.702103376999986,8396
300,2,8,4,2.517456664000008,4348
400,2,12,12,12.333165104999978,19408
400,2,12,8,8.381436563999983,13072
400,2,12,4,4.385659972000013,6736
400,2,8,8,9.249893799000006,8848
400,2,8,4,5.525211078000012,4624
500,2,12,12,19.467391003000017,20300
500,2,12,8,13.840990850000026,13700
500,2,12,4,7.137256621000006,7100
500,2,8,8,15.384991908000018,9300
500,2,8,4,9.09633766600001,4900
10,2,12,12,0.006779011999981321,3276
10,2,12,8,0.004739590000042426,2250
10,2,12,4,0.003126226000006227,1196
10,2,8,8,0.004662972000005539,1948
10,2,8,4,0.0030796170000257916,1050
20,2,12,12,0.02419051499998659,6594
20,2,12,8,0.016454482000028747,4434
20,2,12,4,0.009378905000005489,2202
20,2,8,8,0.015784608999979355,3556
20,2,8,4,0.00911670900001127,1816
30,2,12,12,0.05308053200002405,8894
30,2,12,8,0.03749820500001988,6038
30,2,12,4,0.02043372499997531,3096
30,2,8,8,0.03559339899999259,4562
30,2,8,4,0.019498145999989447,2226
40,2,12,12,0.09599285300004112,10596
40,2,12,8,0.06557420400002911,7066
40,2,12,4,0.03503189799999973,3530
40,2,8,8,0.062171847999991314,5128
40,2,8,4,0.034063295999999355,2542
50,2,12,12,0.14781031199999006,11616
50,2,12,8,0.10245163799999091,7888
50,2,12,4,0.05434741300001633,3996
50,2,8,8,0.0989463000000228,5580
50,2,8,4,0.05322244199999204,2778
60,2,12,12,0.21816323599995258,12648
60,2,12,8,0.14535410700000284,8362
60,2,12,4,0.07921035800001164,4336
60,2,8,8,0.1406859389999795,5784
60,2,8,4,0.07686718100001144,3016
70,2,12,12,0.28975255899996455,13188
70,2,12,8,0.19680330700003879,8752
70,2,12,4,0.10432355900002221,4432
70,2,8,8,0.19200933600001235,6024
70,2,8,4,0.10234845000002224,3050
80,2,12,12,0.3904527420000363,13790
80,2,12,8,0.26968578800000387,9410
80,2,12,4,0.14149655799997163,4712
80,2,8,8,0.26087426200001573,6392
80,2,8,4,0.137694526999951,3230
90,2,12,12,0.48516967200004046,14160
90,2,12,8,0.32982921600000736,9504
90,2,12,4,0.17381573100004744,4794
90,2,8,8,0.3214519120000432,6426
90,2,8,4,0.17369586000000936,3252
100,2,12,12,0.613500184999964,14794
100,2,12,8,0.41166007299995044,9796
100,2,12,4,0.2212006249999945,5104
100,2,8,8,0.4079861449999953,6600
100,2,8,4,0.22247543600002473,3444
200,2,12,12,2.716425174000051,17090
200,2,12,8,1.852649102999976,11552
200,2,12,4,0.9991793209999855,6008
200,2,8,8,1.9046157759999573,7768
200,2,8,4,1.0478954999999814,4072
300,2,12,12,6.499123561999966,18516
300,2,12,8,4.404120148000004,12444
300,2,12,4,2.38521293499997,6372
300,2,8,8,4.662301358999969,8396
300,2,8,4,2.612983041000007,4348
400,2,12,12,12.147055725999962,19408
400,2,12,8,8.369181288999982,13072
400,2,12,4,4.413492643999973,6736
400,2,8,8,8.940740220999999,8848
400,2,8,4,5.17240614100001,4624
500,2,12,12,19.455705535999982,20300
500,2,12,8,13.858144921999951,13700
500,2,12,4,7.358486544000016,7100
500,2,8,8,14.942641116999994,9300
500,2,8,4,9.221650076999993,4900
10,2,12,12,0.007024883999974918,3378
10,2,12,8,0.004843192999999246,2290
10,2,12,4,0.0031340580000005502,1166
10,2,8,8,0.004669926000019586,1952
10,2,8,4,0.003036596000015379,1066
20,2,12,12,0.023808873000007225,6578
20,2,12,8,0.01640511399995148,4420
20,2,12,4,0.00943214699998407,2206
20,2,8,8,0.01586592300003531,3470
20,2,8,4,0.008981751000021632,1700
30,2,12,12,0.05325306800000362,8800
30,2,12,8,0.037489878000030785,6114
30,2,12,4,0.020502673000009963,3106
30,2,8,8,0.03572558799999115,4594
30,2,8,4,0.019697285999995984,2290
40,2,12,12,0.09576604400001543,10538
40,2,12,8,0.06548327799998788,7088
40,2,12,4,0.03502902200000335,3502
40,2,8,8,0.06197175500000185,5096
40,2,8,4,0.03414066099998081,2568
50,2,12,12,0.1482362159999866,11638
50,2,12,8,0.10221382700001413,7918
50,2,12,4,0.05420486099995969,3910
50,2,8,8,0.09882130799996958,5544
50,2,8,4,0.05292938499997035,2824
60,2,12,12,0.21809436000000915,12668
60,2,12,8,0.14601887600002783,8418
60,2,12,4,0.07905859900000678,4334
